State and area;Year;Month;Employment;Unemployment
Alabama;1976;01;1386023   ;98.532   
Alaska;1976;01;148.820   ;11.363   
Arizona;1976;01;865.871   ;98.249   
Arkansas;1976;01;824.395   ;64.649   
California;1976;01;8875685   ;898.595   
Los Angeles County;1976;01;3081806   ;300.050   
Colorado;1976;01;1160104   ;70.862   
Connecticut;1976;01;1301974   ;140.873   
Delaware;1976;01;240.543   ;20.875   
District of Columbia;1976;01;305.677   ;29.014   
Florida;1976;01;3238460   ;346.416   
Georgia;1976;01;2056467   ;188.303   
Hawaii;1976;01;367.586   ;39.871   
Idaho;1976;01;345.182   ;20.424   
Illinois;1976;01;4786415   ;337.194   
Indiana;1976;01;2265849   ;159.497   
Iowa;1976;01;1272281   ;57.517   
Kansas;1976;01;1020396   ;44.663   
Kentucky;1976;01;1402625   ;83.925   
Louisiana;1976;01;1421440   ;95.908   
Maine;1976;01;433.260   ;41.111   
Maryland;1976;01;1777055   ;122.282   
Massachusetts;1976;01;2432377   ;284.719   
Michigan;1976;01;3562759   ;390.092   
Minnesota;1976;01;1719817   ;109.565   
Mississippi;1976;01;899.280   ;64.331   
Missouri;1976;01;1969511   ;124.552   
Montana;1976;01;313.402   ;19.388   
Nebraska;1976;01;687.431   ;23.665   
Nevada;1976;01;291.933   ;29.646   
New Hampshire;1976;01;365.509   ;25.425   
New Jersey;1976;01;2954259   ;339.861   
New Mexico;1976;01;439.744   ;41.586   
New York;1976;01;6872159   ;786.811   
New York city;1976;01;2723016   ;343.589   
North Carolina;1976;01;2424106   ;166.607   
North Dakota;1976;01;267.268   ;9.525   
Ohio;1976;01;4368782   ;386.076   
Oklahoma;1976;01;1116824   ;69.374   
Oregon;1976;01;976.450   ;102.195   
Pennsylvania;1976;01;4710510   ;412.223   
Rhode Island;1976;01;406.706   ;34.273   
South Carolina;1976;01;1200437   ;95.430   
South Dakota;1976;01;297.972   ;10.059   
Tennessee;1976;01;1723616   ;110.578   
Texas;1976;01;5294695   ;328.608   
Utah;1976;01;487.063   ;30.262   
Vermont;1976;01;196.968   ;18.607   
Virginia;1976;01;2187531   ;142.628   
Washington;1976;01;1448543   ;134.527   
West Virginia;1976;01;657.179   ;52.965   
Wisconsin;1976;01;2005997   ;122.896   
Wyoming;1976;01;169.014   ;7.200   
Alabama;1976;02;1385675   ;98.275   
Alaska;1976;02;148.718   ;11.304   
Arizona;1976;02;865.215   ;98.179   
Arkansas;1976;02;824.008   ;64.763   
California;1976;02;8871553   ;897.332   
Los Angeles County;1976;02;3081497   ;299.721   
Colorado;1976;02;1160001   ;70.679   
Connecticut;1976;02;1301107   ;141.011   
Delaware;1976;02;240.545   ;20.780   
District of Columbia;1976;02;305.759   ;29.008   
Florida;1976;02;3237372   ;346.598   
Georgia;1976;02;2055366   ;188.413   
Hawaii;1976;02;367.403   ;39.982   
Idaho;1976;02;344.916   ;20.379   
Illinois;1976;02;4785460   ;336.777   
Indiana;1976;02;2264552   ;159.835   
Iowa;1976;02;1271866   ;57.645   
Kansas;1976;02;1019842   ;44.629   
Kentucky;1976;02;1402206   ;83.904   
Louisiana;1976;02;1421064   ;95.531   
Maine;1976;02;433.173   ;41.099   
Maryland;1976;02;1776509   ;122.002   
Massachusetts;1976;02;2431016   ;285.245   
Michigan;1976;02;3560591   ;390.958   
Minnesota;1976;02;1719004   ;109.513   
Mississippi;1976;02;899.114   ;64.219   
Missouri;1976;02;1968522   ;124.327   
Montana;1976;02;313.365   ;19.321   
Nebraska;1976;02;687.121   ;23.649   
Nevada;1976;02;291.651   ;29.672   
New Hampshire;1976;02;365.177   ;25.409   
New Jersey;1976;02;2953668   ;339.487   
New Mexico;1976;02;439.486   ;41.617   
New York;1976;02;6871169   ;785.540   
New York city;1976;02;2722421   ;343.009   
North Carolina;1976;02;2422974   ;166.940   
North Dakota;1976;02;267.143   ;9.472   
Ohio;1976;02;4368157   ;386.807   
Oklahoma;1976;02;1116531   ;69.315   
Oregon;1976;02;975.742   ;102.020   
Pennsylvania;1976;02;4709350   ;412.813   
Rhode Island;1976;02;406.719   ;34.231   
South Carolina;1976;02;1200235   ;95.417   
South Dakota;1976;02;297.878   ;10.038   
Tennessee;1976;02;1722558   ;110.411   
Texas;1976;02;5291252   ;328.573   
Utah;1976;02;486.695   ;30.283   
Vermont;1976;02;196.846   ;18.621   
Virginia;1976;02;2187080   ;142.523   
Washington;1976;02;1447552   ;134.089   
West Virginia;1976;02;657.268   ;52.984   
Wisconsin;1976;02;2005096   ;122.930   
Wyoming;1976;02;168.813   ;7.201   
Alabama;1976;03;1386793   ;97.448   
Alaska;1976;03;148.935   ;11.189   
Arizona;1976;03;865.905   ;97.651   
Arkansas;1976;03;823.855   ;64.702   
California;1976;03;8875700   ;892.831   
Los Angeles County;1976;03;3083346   ;298.333   
Colorado;1976;03;1159916   ;69.991   
Connecticut;1976;03;1301919   ;140.666   
Delaware;1976;03;240.523   ;20.783   
District of Columbia;1976;03;305.939   ;28.830   
Florida;1976;03;3238803   ;345.091   
Georgia;1976;03;2056476   ;187.844   
Hawaii;1976;03;367.608   ;39.968   
Idaho;1976;03;344.962   ;20.358   
Illinois;1976;03;4787596   ;336.318   
Indiana;1976;03;2265615   ;158.390   
Iowa;1976;03;1272124   ;57.435   
Kansas;1976;03;1020044   ;44.597   
Kentucky;1976;03;1402586   ;83.673   
Louisiana;1976;03;1420882   ;95.607   
Maine;1976;03;433.462   ;40.978   
Maryland;1976;03;1776482   ;121.540   
Massachusetts;1976;03;2430783   ;284.332   
Michigan;1976;03;3562811   ;390.883   
Minnesota;1976;03;1720108   ;108.497   
Mississippi;1976;03;900.093   ;63.417   
Missouri;1976;03;1969025   ;124.289   
Montana;1976;03;313.352   ;19.208   
Nebraska;1976;03;687.236   ;23.391   
Nevada;1976;03;291.820   ;29.580   
New Hampshire;1976;03;365.391   ;25.425   
New Jersey;1976;03;2955302   ;339.313   
New Mexico;1976;03;439.624   ;41.684   
New York;1976;03;6874360   ;782.659   
New York city;1976;03;2722931   ;341.936   
North Carolina;1976;03;2424774   ;166.277   
North Dakota;1976;03;267.177   ;9.456   
Ohio;1976;03;4369756   ;385.978   
Oklahoma;1976;03;1116631   ;69.009   
Oregon;1976;03;975.675   ;101.168   
Pennsylvania;1976;03;4708719   ;414.505   
Rhode Island;1976;03;406.950   ;34.104   
South Carolina;1976;03;1200705   ;94.727   
South Dakota;1976;03;297.968   ;9.896   
Tennessee;1976;03;1722558   ;109.927   
Texas;1976;03;5293477   ;329.941   
Utah;1976;03;486.955   ;30.231   
Vermont;1976;03;196.979   ;18.645   
Virginia;1976;03;2187833   ;141.575   
Washington;1976;03;1447484   ;133.566   
West Virginia;1976;03;657.702   ;53.093   
Wisconsin;1976;03;2005801   ;122.038   
Wyoming;1976;03;168.932   ;7.173   
Alabama;1976;04;1390787   ;96.446   
Alaska;1976;04;149.867   ;11.166   
Arizona;1976;04;870.141   ;96.426   
Arkansas;1976;04;825.015   ;63.930   
California;1976;04;8902662   ;886.361   
Los Angeles County;1976;04;3089190   ;295.936   
Colorado;1976;04;1160052   ;69.249   
Connecticut;1976;04;1307272   ;139.047   
Delaware;1976;04;240.379   ;21.191   
District of Columbia;1976;04;305.824   ;28.393   
Florida;1976;04;3246473   ;340.053   
Georgia;1976;04;2063590   ;185.902   
Hawaii;1976;04;368.776   ;39.416   
Idaho;1976;04;346.124   ;20.458   
Illinois;1976;04;4795335   ;336.360   
Indiana;1976;04;2273481   ;152.895   
Iowa;1976;04;1274556   ;56.394   
Kansas;1976;04;1022562   ;44.577   
Kentucky;1976;04;1404930   ;83.121   
Louisiana;1976;04;1422019   ;97.035   
Maine;1976;04;434.471   ;40.693   
Maryland;1976;04;1778204   ;121.908   
Massachusetts;1976;04;2436049   ;279.432   
Michigan;1976;04;3576236   ;387.187   
Minnesota;1976;04;1726077   ;106.154   
Mississippi;1976;04;903.082   ;61.820   
Missouri;1976;04;1973947   ;125.497   
Montana;1976;04;313.343   ;19.160   
Nebraska;1976;04;688.636   ;22.796   
Nevada;1976;04;293.430   ;29.195   
New Hampshire;1976;04;367.257   ;25.515   
New Jersey;1976;04;2961197   ;340.186   
New Mexico;1976;04;441.037   ;41.702   
New York;1976;04;6884805   ;779.397   
New York city;1976;04;2726299   ;341.014   
North Carolina;1976;04;2432742   ;163.004   
North Dakota;1976;04;267.713   ;9.647   
Ohio;1976;04;4375662   ;379.830   
Oklahoma;1976;04;1118154   ;68.276   
Oregon;1976;04;978.506   ;99.698   
Pennsylvania;1976;04;4710603   ;416.230   
Rhode Island;1976;04;407.314   ;33.926   
South Carolina;1976;04;1202589   ;92.735   
South Dakota;1976;04;298.513   ;9.678   
Tennessee;1976;04;1726382   ;109.382   
Texas;1976;04;5312877   ;333.436   
Utah;1976;04;489.107   ;29.947   
Vermont;1976;04;197.785   ;18.628   
Virginia;1976;04;2191295   ;139.438   
Washington;1976;04;1451387   ;134.128   
West Virginia;1976;04;658.257   ;53.171   
Wisconsin;1976;04;2011006   ;119.430   
Wyoming;1976;04;170.037   ;7.082   
Alabama;1976;05;1395320   ;96.072   
Alaska;1976;05;151.056   ;11.282   
Arizona;1976;05;875.687   ;95.393   
Arkansas;1976;05;827.062   ;62.851   
California;1976;05;8938559   ;882.696   
Los Angeles County;1976;05;3095552   ;294.256   
Colorado;1976;05;1160471   ;68.999   
Connecticut;1976;05;1314537   ;137.079   
Delaware;1976;05;240.214   ;21.802   
District of Columbia;1976;05;305.434   ;27.962   
Florida;1976;05;3256638   ;334.459   
Georgia;1976;05;2073036   ;183.624   
Hawaii;1976;05;370.291   ;38.642   
Idaho;1976;05;347.899   ;20.607   
Illinois;1976;05;4804374   ;337.416   
Indiana;1976;05;2284630   ;146.530   
Iowa;1976;05;1277930   ;55.064   
Kansas;1976;05;1026320   ;44.552   
Kentucky;1976;05;1408137   ;82.462   
Louisiana;1976;05;1424086   ;99.258   
Maine;1976;05;435.612   ;40.400   
Maryland;1976;05;1781196   ;122.884   
Massachusetts;1976;05;2444886   ;273.225   
Michigan;1976;05;3594264   ;381.378   
Minnesota;1976;05;1733886   ;104.022   
Mississippi;1976;05;906.282   ;60.472   
Missouri;1976;05;1981037   ;127.295   
Montana;1976;05;313.383   ;19.219   
Nebraska;1976;05;690.704   ;22.239   
Nevada;1976;05;295.681   ;28.744   
New Hampshire;1976;05;369.866   ;25.627   
New Jersey;1976;05;2968185   ;341.685   
New Mexico;1976;05;443.026   ;41.650   
New York;1976;05;6896958   ;778.834   
New York city;1976;05;2730681   ;341.292   
North Carolina;1976;05;2442874   ;158.994   
North Dakota;1976;05;268.524   ;9.957   
Ohio;1976;05;4382938   ;371.624   
Oklahoma;1976;05;1120284   ;67.611   
Oregon;1976;05;983.065   ;98.593   
Pennsylvania;1976;05;4715133   ;415.833   
Rhode Island;1976;05;407.576   ;33.812   
South Carolina;1976;05;1204846   ;90.734   
South Dakota;1976;05;299.264   ;9.534   
Tennessee;1976;05;1732735   ;109.198   
Texas;1976;05;5339976   ;336.987   
Utah;1976;05;492.102   ;29.596   
Vermont;1976;05;198.845   ;18.566   
Virginia;1976;05;2195739   ;137.613   
Washington;1976;05;1457626   ;135.648   
West Virginia;1976;05;658.512   ;52.997   
Wisconsin;1976;05;2018302   ;116.652   
Wyoming;1976;05;171.583   ;6.977   
Alabama;1976;06;1399430   ;96.730   
Alaska;1976;06;152.324   ;11.584   
Arizona;1976;06;881.602   ;94.859   
Arkansas;1976;06;829.833   ;61.601   
California;1976;06;8977255   ;884.632   
Los Angeles County;1976;06;3100801   ;294.176   
Colorado;1976;06;1161704   ;69.519   
Connecticut;1976;06;1322011   ;134.995   
Delaware;1976;06;240.155   ;22.485   
District of Columbia;1976;06;304.715   ;27.725   
Florida;1976;06;3267451   ;329.759   
Georgia;1976;06;2083290   ;181.737   
Hawaii;1976;06;371.836   ;37.826   
Idaho;1976;06;350.070   ;20.763   
Illinois;1976;06;4812220   ;338.893   
Indiana;1976;06;2296745   ;141.495   
Iowa;1976;06;1281456   ;53.796   
Kansas;1976;06;1030858   ;44.403   
Kentucky;1976;06;1411443   ;81.691   
Louisiana;1976;06;1427096   ;101.796   
Maine;1976;06;436.500   ;40.225   
Maryland;1976;06;1785402   ;124.233   
Massachusetts;1976;06;2456971   ;266.797   
Michigan;1976;06;3613034   ;374.649   
Minnesota;1976;06;1742473   ;103.036   
Mississippi;1976;06;908.939   ;59.858   
Missouri;1976;06;1989320   ;129.458   
Montana;1976;06;313.675   ;19.365   
Nebraska;1976;06;693.197   ;21.884   
Nevada;1976;06;298.204   ;28.387   
New Hampshire;1976;06;372.765   ;25.708   
New Jersey;1976;06;2975187   ;343.425   
New Mexico;1976;06;445.278   ;41.744   
New York;1976;06;6907840   ;780.643   
New York city;1976;06;2735049   ;342.163   
North Carolina;1976;06;2452391   ;155.635   
North Dakota;1976;06;269.504   ;10.337   
Ohio;1976;06;4389731   ;363.480   
Oklahoma;1976;06;1122849   ;66.982   
Oregon;1976;06;989.181   ;98.399   
Pennsylvania;1976;06;4722519   ;412.643   
Rhode Island;1976;06;407.522   ;33.920   
South Carolina;1976;06;1207151   ;89.199   
South Dakota;1976;06;300.120   ;9.595   
Tennessee;1976;06;1740968   ;109.769   
Texas;1976;06;5369891   ;338.683   
Utah;1976;06;495.414   ;29.242   
Vermont;1976;06;199.914   ;18.426   
Virginia;1976;06;2200717   ;136.576   
Washington;1976;06;1466236   ;138.144   
West Virginia;1976;06;658.327   ;52.317   
Wisconsin;1976;06;2026605   ;114.565   
Wyoming;1976;06;173.267   ;6.876   
Alabama;1976;07;1402364   ;98.366   
Alaska;1976;07;153.282   ;12.086   
Arizona;1976;07;887.162   ;94.813   
Arkansas;1976;07;832.622   ;60.431   
California;1976;07;9010377   ;893.227   
Los Angeles County;1976;07;3103079   ;296.015   
Colorado;1976;07;1163541   ;71.143   
Connecticut;1976;07;1327624   ;133.011   
Delaware;1976;07;240.211   ;23.104   
District of Columbia;1976;07;303.684   ;27.823   
Florida;1976;07;3275577   ;327.205   
Georgia;1976;07;2092242   ;180.997   
Hawaii;1976;07;373.058   ;37.044   
Idaho;1976;07;352.181   ;20.926   
Illinois;1976;07;4816599   ;339.995   
Indiana;1976;07;2306108   ;139.135   
Iowa;1976;07;1284353   ;52.923   
Kansas;1976;07;1035054   ;44.193   
Kentucky;1976;07;1413722   ;81.058   
Louisiana;1976;07;1430273   ;103.994   
Maine;1976;07;436.790   ;40.305   
Maryland;1976;07;1789408   ;125.794   
Massachusetts;1976;07;2469470   ;261.204   
Michigan;1976;07;3627749   ;368.578   
Minnesota;1976;07;1749799   ;103.614   
Mississippi;1976;07;910.473   ;60.291   
Missouri;1976;07;1996806   ;131.816   
Montana;1976;07;314.232   ;19.590   
Nebraska;1976;07;695.483   ;21.840   
Nevada;1976;07;300.492   ;28.243   
New Hampshire;1976;07;375.302   ;25.726   
New Jersey;1976;07;2980510   ;345.248   
New Mexico;1976;07;447.267   ;41.989   
New York;1976;07;6912373   ;783.989   
New York city;1976;07;2737981   ;343.092   
North Carolina;1976;07;2458363   ;154.021   
North Dakota;1976;07;270.419   ;10.724   
Ohio;1976;07;4392879   ;357.701   
Oklahoma;1976;07;1125315   ;66.335   
Oregon;1976;07;995.571   ;99.385   
Pennsylvania;1976;07;4729977   ;408.333   
Rhode Island;1976;07;406.937   ;34.367   
South Carolina;1976;07;1208997   ;88.403   
South Dakota;1976;07;300.829   ;9.889   
Tennessee;1976;07;1748920   ;111.217   
Texas;1976;07;5395557   ;337.358   
Utah;1976;07;498.273   ;28.937   
Vermont;1976;07;200.721   ;18.204   
Virginia;1976;07;2205025   ;136.291   
Washington;1976;07;1475933   ;141.415   
West Virginia;1976;07;657.571   ;51.304   
Wisconsin;1976;07;2033622   ;113.952   
Wyoming;1976;07;174.732   ;6.791   
Alabama;1976;08;1404636   ;100.485   
Alaska;1976;08;153.715   ;12.701   
Arizona;1976;08;892.485   ;95.056   
Arkansas;1976;08;835.190   ;59.565   
California;1976;08;9037097   ;906.286   
Los Angeles County;1976;08;3103316   ;299.167   
Colorado;1976;08;1166313   ;73.553   
Connecticut;1976;08;1330847   ;131.114   
Delaware;1976;08;240.436   ;23.511   
District of Columbia;1976;08;302.555   ;28.201   
Florida;1976;08;3280710   ;326.934   
Georgia;1976;08;2099313   ;181.533   
Hawaii;1976;08;373.926   ;36.431   
Idaho;1976;08;354.023   ;21.086   
Illinois;1976;08;4818730   ;340.076   
Indiana;1976;08;2311280   ;138.962   
Iowa;1976;08;1287034   ;52.617   
Kansas;1976;08;1038432   ;44.078   
Kentucky;1976;08;1415395   ;80.276   
Louisiana;1976;08;1433303   ;105.384   
Maine;1976;08;436.562   ;40.648   
Maryland;1976;08;1792801   ;127.125   
Massachusetts;1976;08;2480126   ;256.840   
Michigan;1976;08;3637189   ;364.239   
Minnesota;1976;08;1755105   ;105.342   
Mississippi;1976;08;911.266   ;61.490   
Missouri;1976;08;2002746   ;134.258   
Montana;1976;08;315.090   ;19.808   
Nebraska;1976;08;697.327   ;22.066   
Nevada;1976;08;302.339   ;28.357   
New Hampshire;1976;08;377.207   ;25.676   
New Jersey;1976;08;2984381   ;346.903   
New Mexico;1976;08;448.792   ;42.385   
New York;1976;08;6910069   ;786.980   
New York city;1976;08;2739158   ;343.573   
North Carolina;1976;08;2460401   ;154.928   
North Dakota;1976;08;271.148   ;11.052   
Ohio;1976;08;4393870   ;354.656   
Oklahoma;1976;08;1127599   ;65.736   
Oregon;1976;08;1001472   ;101.029   
Pennsylvania;1976;08;4736852   ;404.977   
Rhode Island;1976;08;406.023   ;35.094   
South Carolina;1976;08;1210629   ;88.270   
South Dakota;1976;08;301.341   ;10.295   
Tennessee;1976;08;1755915   ;113.245   
Texas;1976;08;5414486   ;333.927   
Utah;1976;08;500.375   ;28.748   
Vermont;1976;08;201.245   ;17.905   
Virginia;1976;08;2208979   ;136.297   
Washington;1976;08;1485599   ;144.763   
West Virginia;1976;08;656.636   ;49.824   
Wisconsin;1976;08;2038648   ;114.733   
Wyoming;1976;08;175.824   ;6.737   
Alabama;1976;09;1407083   ;102.566   
Alaska;1976;09;153.851   ;13.329   
Arizona;1976;09;898.289   ;95.124   
Arkansas;1976;09;837.593   ;59.031   
California;1976;09;9062648   ;919.485   
Los Angeles County;1976;09;3103689   ;302.188   
Colorado;1976;09;1170214   ;76.134   
Connecticut;1976;09;1332667   ;128.943   
Delaware;1976;09;240.732   ;23.784   
District of Columbia;1976;09;301.461   ;28.632   
Florida;1976;09;3284182   ;327.497   
Georgia;1976;09;2105436   ;182.937   
Hawaii;1976;09;374.686   ;36.018   
Idaho;1976;09;355.686   ;21.282   
Illinois;1976;09;4821126   ;338.381   
Indiana;1976;09;2312824   ;139.881   
Iowa;1976;09;1290218   ;52.758   
Kansas;1976;09;1041128   ;44.146   
Kentucky;1976;09;1417188   ;79.173   
Louisiana;1976;09;1436017   ;105.997   
Maine;1976;09;436.065   ;41.175   
Maryland;1976;09;1795726   ;128.144   
Massachusetts;1976;09;2487985   ;252.824   
Michigan;1976;09;3643758   ;361.532   
Minnesota;1976;09;1759271   ;107.257   
Mississippi;1976;09;912.030   ;62.801   
Missouri;1976;09;2007558   ;136.771   
Montana;1976;09;316.209   ;19.958   
Nebraska;1976;09;698.890   ;22.291   
Nevada;1976;09;303.985   ;28.609   
New Hampshire;1976;09;378.725   ;25.627   
New Jersey;1976;09;2987935   ;348.512   
New Mexico;1976;09;450.077   ;43.003   
New York;1976;09;6903919   ;787.740   
New York city;1976;09;2739239   ;342.591   
North Carolina;1976;09;2460023   ;157.689   
North Dakota;1976;09;271.679   ;11.306   
Ohio;1976;09;4394507   ;353.751   
Oklahoma;1976;09;1129978   ;65.053   
Oregon;1976;09;1007029   ;102.596   
Pennsylvania;1976;09;4741596   ;404.235   
Rhode Island;1976;09;405.075   ;35.992   
South Carolina;1976;09;1212463   ;88.338   
South Dakota;1976;09;301.733   ;10.672   
Tennessee;1976;09;1762321   ;115.443   
Texas;1976;09;5429512   ;330.950   
Utah;1976;09;501.982   ;28.692   
Vermont;1976;09;201.667   ;17.563   
Virginia;1976;09;2213245   ;135.798   
Washington;1976;09;1494839   ;147.928   
West Virginia;1976;09;655.887   ;48.401   
Wisconsin;1976;09;2042335   ;115.594   
Wyoming;1976;09;176.702   ;6.747   
Alabama;1976;10;1409795   ;104.652   
Alaska;1976;10;153.868   ;13.922   
Arizona;1976;10;904.453   ;95.010   
Arkansas;1976;10;839.863   ;58.930   
California;1976;10;9089492   ;930.552   
Los Angeles County;1976;10;3105661   ;304.311   
Colorado;1976;10;1175284   ;78.536   
Connecticut;1976;10;1333848   ;126.642   
Delaware;1976;10;241.053   ;24.056   
District of Columbia;1976;10;300.500   ;29.002   
Florida;1976;10;3286676   ;328.349   
Georgia;1976;10;2110772   ;184.971   
Hawaii;1976;10;375.500   ;35.803   
Idaho;1976;10;357.186   ;21.617   
Illinois;1976;10;4826180   ;334.992   
Indiana;1976;10;2311115   ;141.685   
Iowa;1976;10;1294102   ;53.308   
Kansas;1976;10;1043241   ;44.504   
Kentucky;1976;10;1419389   ;78.210   
Louisiana;1976;10;1438250   ;106.236   
Maine;1976;10;435.542   ;41.907   
Maryland;1976;10;1798458   ;129.251   
Massachusetts;1976;10;2492084   ;249.231   
Michigan;1976;10;3649206   ;360.865   
Minnesota;1976;10;1762742   ;108.949   
Mississippi;1976;10;912.806   ;64.057   
Missouri;1976;10;2011493   ;139.145   
Montana;1976;10;317.497   ;20.147   
Nebraska;1976;10;700.287   ;22.422   
Nevada;1976;10;305.580   ;28.928   
New Hampshire;1976;10;379.970   ;25.680   
New Jersey;1976;10;2991372   ;350.577   
New Mexico;1976;10;451.379   ;43.836   
New York;1976;10;6897272   ;786.862   
New York city;1976;10;2738977   ;340.446   
North Carolina;1976;10;2458321   ;161.562   
North Dakota;1976;10;272.003   ;11.525   
Ohio;1976;10;4395543   ;355.352   
Oklahoma;1976;10;1132849   ;64.469   
Oregon;1976;10;1012091   ;104.052   
Pennsylvania;1976;10;4743684   ;407.123   
Rhode Island;1976;10;404.409   ;37.012   
South Carolina;1976;10;1214447   ;88.793   
South Dakota;1976;10;302.045   ;11.008   
Tennessee;1976;10;1768008   ;117.873   
Texas;1976;10;5442664   ;330.202   
Utah;1976;10;503.267   ;28.840   
Vermont;1976;10;202.110   ;17.256   
Virginia;1976;10;2217915   ;134.974   
Washington;1976;10;1502690   ;151.087   
West Virginia;1976;10;655.510   ;47.898   
Wisconsin;1976;10;2044855   ;116.385   
Wyoming;1976;10;177.487   ;6.828   
Alabama;1976;11;1412921   ;106.890   
Alaska;1976;11;153.794   ;14.464   
Arizona;1976;11;910.597   ;94.767   
Arkansas;1976;11;842.135   ;59.206   
California;1976;11;9120389   ;937.548   
Los Angeles County;1976;11;3109521   ;305.031   
Colorado;1976;11;1180591   ;80.758   
Connecticut;1976;11;1335330   ;124.291   
Delaware;1976;11;241.509   ;24.327   
District of Columbia;1976;11;299.729   ;29.250   
Florida;1976;11;3289366   ;329.085   
Georgia;1976;11;2115728   ;186.869   
Hawaii;1976;11;376.474   ;35.671   
Idaho;1976;11;358.606   ;22.076   
Illinois;1976;11;4835787   ;330.666   
Indiana;1976;11;2307957   ;143.179   
Iowa;1976;11;1298854   ;54.058   
Kansas;1976;11;1045111   ;45.037   
Kentucky;1976;11;1422507   ;77.628   
Louisiana;1976;11;1440358   ;106.435   
Maine;1976;11;435.208   ;42.773   
Maryland;1976;11;1801646   ;130.183   
Massachusetts;1976;11;2492649   ;245.995   
Michigan;1976;11;3655726   ;361.282   
Minnesota;1976;11;1766050   ;110.187   
Mississippi;1976;11;913.557   ;65.265   
Missouri;1976;11;2015230   ;140.552   
Montana;1976;11;318.803   ;20.360   
Nebraska;1976;11;701.693   ;22.506   
Nevada;1976;11;307.303   ;29.188   
New Hampshire;1976;11;381.158   ;25.836   
New Jersey;1976;11;2995183   ;352.977   
New Mexico;1976;11;452.921   ;44.680   
New York;1976;11;6893843   ;784.667   
New York city;1976;11;2739097   ;337.736   
North Carolina;1976;11;2456782   ;165.690   
North Dakota;1976;11;272.196   ;11.779   
Ohio;1976;11;4399284   ;357.531   
Oklahoma;1976;11;1136665   ;63.952   
Oregon;1976;11;1016783   ;105.059   
Pennsylvania;1976;11;4744837   ;412.840   
Rhode Island;1976;11;404.217   ;38.012   
South Carolina;1976;11;1216485   ;89.892   
South Dakota;1976;11;302.342   ;11.314   
Tennessee;1976;11;1773459   ;120.622   
Texas;1976;11;5456390   ;332.231   
Utah;1976;11;504.477   ;29.120   
Vermont;1976;11;202.700   ;17.025   
Virginia;1976;11;2223244   ;134.124   
Washington;1976;11;1508919   ;154.007   
West Virginia;1976;11;655.743   ;48.314   
Wisconsin;1976;11;2046725   ;117.425   
Wyoming;1976;11;178.305   ;6.927   
Alabama;1976;12;1416558   ;109.269   
Alaska;1976;12;153.764   ;14.965   
Arizona;1976;12;916.504   ;94.464   
Arkansas;1976;12;844.483   ;59.645   
California;1976;12;9157978   ;938.342   
Los Angeles County;1976;12;3115416   ;303.810   
Colorado;1976;12;1185243   ;82.722   
Connecticut;1976;12;1338214   ;121.799   
Delaware;1976;12;242.278   ;24.511   
District of Columbia;1976;12;299.282   ;29.308   
Florida;1976;12;3294008   ;329.108   
Georgia;1976;12;2120947   ;187.496   
Hawaii;1976;12;377.652   ;35.450   
Idaho;1976;12;360.070   ;22.525   
Illinois;1976;12;4851125   ;325.773   
Indiana;1976;12;2305881   ;143.612   
Iowa;1976;12;1304426   ;54.720   
Kansas;1976;12;1047167   ;45.471   
Kentucky;1976;12;1427009   ;77.297   
Louisiana;1976;12;1443275   ;106.553   
Maine;1976;12;435.270   ;43.483   
Maryland;1976;12;1806057   ;130.370   
Massachusetts;1976;12;2491762   ;242.750   
Michigan;1976;12;3665132   ;360.782   
Minnesota;1976;12;1769888   ;110.884   
Mississippi;1976;12;914.229   ;66.479   
Missouri;1976;12;2019695   ;140.233   
Montana;1976;12;320.032   ;20.510   
Nebraska;1976;12;703.293   ;22.561   
Nevada;1976;12;309.309   ;29.183   
New Hampshire;1976;12;382.533   ;26.002   
New Jersey;1976;12;3000486   ;354.330   
New Mexico;1976;12;454.863   ;45.158   
New York;1976;12;6896742   ;781.145   
New York city;1976;12;2740292   ;334.599   
North Carolina;1976;12;2457392   ;168.710   
North Dakota;1976;12;272.406   ;12.050   
Ohio;1976;12;4408359   ;357.519   
Oklahoma;1976;12;1141451   ;63.568   
Oregon;1976;12;1021476   ;105.198   
Pennsylvania;1976;12;4747630   ;418.151   
Rhode Island;1976;12;404.581   ;38.778   
South Carolina;1976;12;1218598   ;91.385   
South Dakota;1976;12;302.710   ;11.541   
Tennessee;1976;12;1779576   ;123.174   
Texas;1976;12;5473400   ;335.471   
Utah;1976;12;505.850   ;29.402   
Vermont;1976;12;203.518   ;16.873   
Virginia;1976;12;2229219   ;133.293   
Washington;1976;12;1513953   ;156.183   
West Virginia;1976;12;656.747   ;49.175   
Wisconsin;1976;12;2048919   ;118.141   
Wyoming;1976;12;179.265   ;7.010   
Alabama;1977;01;1420756   ;111.744   
Alaska;1977;01;153.861   ;15.448   
Arizona;1977;01;922.388   ;94.358   
Arkansas;1977;01;847.017   ;60.140   
California;1977;01;9204162   ;933.537   
Los Angeles County;1977;01;3124784   ;300.833   
Colorado;1977;01;1189423   ;84.205   
Connecticut;1977;01;1343245   ;119.224   
Delaware;1977;01;243.447   ;24.573   
District of Columbia;1977;01;299.236   ;29.198   
Florida;1977;01;3302385   ;328.591   
Georgia;1977;01;2127069   ;186.306   
Hawaii;1977;01;379.072   ;35.099   
Idaho;1977;01;361.733   ;22.853   
Illinois;1977;01;4872374   ;321.538   
Indiana;1977;01;2307252   ;143.239   
