Geo Name,2017,2018,2019,2020,2021,2022,code,Before,During,After,Total Mean,pre-during delta,during-after delta
New York,112583573.0,113063759.0,113731004.0,103666510.0,106674760.0,110494834.0,NY,113397381.5,105170635.0,110494834.0,132042888.0,-0.07254794062418451,0.05062438769148822
North Carolina,55752157.0,56591347.0,57606384.0,53874203.0,56561422.0,59658227.0,NC,57098865.5,55217812.5,59658227.0,68008748.0,-0.03294378939980865,0.08041634209975268
North Dakota,4858.854,4826.043,4856.936,4672.396,4756.7119999999995,4867.037,ND,4841.4895,4714.554,4867.037,5767.5956,-0.02621827435544363,0.03234303817497905
Ohio,66340477.0,66704550.0,67599905.0,63335824.0,65224388.0,66140433.0,OH,67152227.5,64280106.0,66140433.0,79069115.4,-0.0427703086989929,0.028940944808025053
Oklahoma,21034485.0,21249843.0,21388282.0,20700498.0,21431517.0,21954039.0,OK,21319062.5,21066007.5,21954039.0,25551732.8,-0.011869893434572933,0.04215471298963508
Oregon,23904248.0,23960664.0,24197666.0,23358971.0,24440014.0,25027823.0,OR,24079165.0,23899492.5,25027823.0,28977877.2,-0.007461741302075882,0.04721148367481025
Pennsylvania,73931174.0,74659853.0,75457277.0,71176715.0,72715933.0,74345529.0,PA,75058565.0,71946324.0,74345529.0,88457296.2,-0.04146416867948381,0.03334715196845915
Rhode Island,6509.224,6594.236,6648.5740000000005,6214.041,6481.343,6619.429,RI,6621.405000000001,6347.692,6619.429,7813.3694000000005,-0.04133760130969192,0.04280878782398391
South Carolina,26001109.0,26456913.0,27120455.0,26334082.0,27136034.0,27573906.0,SC,26788684.0,26735058.0,27573906.0,32124499.8,-0.002001815393395211,0.031376329911085285
South Dakota,5297.169,5356.459,5416.386,5337.167,5486.946,5582.611,SD,5386.422500000001,5412.056500000001,5582.611,6495.3476,0.004759002844652459,0.03151380625830481
Tennessee,36922153.0,37729707.0,38687861.0,36652387.0,38114831.0,38883673.0,TN,38208784.0,37383609.0,38883673.0,45398122.4,-0.021596473732322912,0.04012624891299286
Texas,154646901.0,158118285.0,161182225.0,154517887.0,162071624.0,169079935.0,TX,159650255.0,158294755.5,169079935.0,191923371.4,-0.008490431161541207,0.0681335238551223
Utah,18062460.0,18458381.0,18932388.0,18808021.0,19698215.0,20425294.0,UT,18695384.5,19253118.0,20425294.0,22876951.8,0.029832684104464394,0.0608823983730843
Vermont,4135.687,4158.755,4151.757,3844.877,3880.991,3997.367,VT,4155.255999999999,3862.934,3997.367,4833.8868,-0.07034993752490803,0.03480074989632233
Virginia,50316404.0,50728131.0,51508823.0,48734155.0,49955399.0,51697557.0,VA,51118477.0,49344777.0,51697557.0,60588093.8,-0.03469782560227684,0.04768042623842438
Washington,42650756.0,43748942.0,45207996.0,43227924.0,44350746.0,45858967.0,WA,44478469.0,43789335.0,45858967.0,53009066.2,-0.015493653794603407,0.04726338045553786
West Virginia,8924.676,9029.457,9074.213,8583.953,8870.705,9052.054,WV,9051.835,8727.329,9052.054,10707.011600000002,-0.03584974759261514,0.03720783300366015
Wisconsin,36471642.0,36362834.0,36153301.0,34757979.0,35781234.0,35905761.0,WI,36258067.5,35269606.5,35905761.0,43086550.2,-0.027261822489574216,0.018036903814053044
Wyoming,3373.435,3368.788,3389.4629999999997,3316.66,3309.433,3375.9880000000003,WY,3379.1255,3313.0465,3375.9880000000003,4026.7534,-0.01955505943771552,0.018998073223542248
